data,ano,mes,dia,dia_da_semana,nome_mes,dia_da_semana_num,fim_de_semana,data_chave
2024-01-11,2024,1,11,Quinta-feira,Janeiro,3,False,20240111
2024-01-12,2024,1,12,Sexta-feira,Janeiro,4,False,20240112
2024-01-13,2024,1,13,Sábado,Janeiro,5,True,20240113
2024-01-14,2024,1,14,Domingo,Janeiro,6,True,20240114
2024-01-15,2024,1,15,Segunda-feira,Janeiro,0,False,20240115
2024-01-16,2024,1,16,Terça-feira,Janeiro,1,False,20240116
2024-01-17,2024,1,17,Quarta-feira,Janeiro,2,False,20240117
2024-01-18,2024,1,18,Quinta-feira,Janeiro,3,False,20240118
2024-01-19,2024,1,19,Sexta-feira,Janeiro,4,False,20240119
2024-01-20,2024,1,20,Sábado,Janeiro,5,True,20240120
2024-01-21,2024,1,21,Domingo,Janeiro,6,True,20240121
2024-01-22,2024,1,22,Segunda-feira,Janeiro,0,False,20240122
2024-01-23,2024,1,23,Terça-feira,Janeiro,1,False,20240123
2024-01-24,2024,1,24,Quarta-feira,Janeiro,2,False,20240124
2024-01-25,2024,1,25,Quinta-feira,Janeiro,3,False,20240125
2024-01-26,2024,1,26,Sexta-feira,Janeiro,4,False,20240126
2024-01-27,2024,1,27,Sábado,Janeiro,5,True,20240127
2024-01-28,2024,1,28,Domingo,Janeiro,6,True,20240128
2024-01-29,2024,1,29,Segunda-feira,Janeiro,0,False,20240129
2024-01-30,2024,1,30,Terça-feira,Janeiro,1,False,20240130
2024-01-31,2024,1,31,Quarta-feira,Janeiro,2,False,20240131
2024-02-01,2024,2,1,Quinta-feira,Fevereiro,3,False,20240201
2024-02-02,2024,2,2,Sexta-feira,Fevereiro,4,False,20240202
2024-02-03,2024,2,3,Sábado,Fevereiro,5,True,20240203
2024-02-04,2024,2,4,Domingo,Fevereiro,6,True,20240204
2024-02-05,2024,2,5,Segunda-feira,Fevereiro,0,False,20240205
2024-02-06,2024,2,6,Terça-feira,Fevereiro,1,False,20240206
2024-02-07,2024,2,7,Quarta-feira,Fevereiro,2,False,20240207
2024-02-08,2024,2,8,Quinta-feira,Fevereiro,3,False,20240208
2024-02-09,2024,2,9,Sexta-feira,Fevereiro,4,False,20240209
